pl_hostname,pl_letter,hd_name,hip_name,ra,dec
HD 220842,b,HD 220842,HIP 115714,351.654114,56.886528
HD 12484,b,HD 12484,HIP 9519,30.611374,2.815859
HIP 65407,b,,HIP 65407,201.087662,48.885094
HIP 65407,c,,HIP 65407,201.087662,48.885094
HD 141399,b,HD 141399,HIP 77301,236.724228,46.986263
HD 141399,c,HD 141399,HIP 77301,236.724228,46.986263
HD 141399,d,HD 141399,HIP 77301,236.724228,46.986263
HD 141399,e,HD 141399,HIP 77301,236.724228,46.986263
KELT-4 A,b,,HIP 51260 A,157.062546,25.573189
K2-28,b,,,335.624384,-7.955366
K2-19,d,,,174.960319,0.603575
K2-31,b,,,245.440751,-23.547865
K2-32,b,,,252.426083,-19.542821
K2-32,d,,,252.426083,-19.542821
K2-32,c,,,252.426083,-19.542821
WASP-119,b,,,55.933441,-65.193855
WASP-124,b,,,332.714323,-30.749672
WASP-126,b,,,63.373865,-69.226807
WASP-129,b,,,176.298965,-42.063927
WASP-133,b,,,314.575373,-35.796555
Kepler-198,d,,,290.673130,38.691011
Kepler-624,b,,,295.193389,39.539677
Kepler-625,b,,,292.150459,39.637581
Kepler-625,c,,,292.150459,39.637581
Kepler-626,b,,,288.698651,39.708288
Kepler-627,b,,,292.104279,39.767914
Kepler-628,b,,,290.449257,39.854802
Kepler-629,b,,,289.417832,39.945013
Kepler-630,b,,,293.427043,39.942437
Kepler-631,b,,,296.885757,40.228233
Kepler-632,b,,,297.252613,40.288605
Kepler-633,b,,,295.217437,40.592251
Kepler-634,b,,,291.195065,40.702706
Kepler-635,b,,,289.773247,40.800724
Kepler-636,b,,,293.591889,41.095161
Kepler-637,b,,,292.417233,41.416882
Kepler-638,b,,,284.919429,41.617195
Kepler-639,b,,,292.186888,41.727039
Kepler-640,b,,,296.032191,42.131680
Kepler-641,b,,,291.823482,42.516216
Kepler-642,b,,,293.834559,42.624962
Kepler-643,b,,,290.327325,42.898281
Kepler-644,b,,,295.475743,43.493137
Kepler-645,b,,,290.322766,44.035809
Kepler-646,b,,,290.471339,44.387085
Kepler-647,b,,,284.788295,44.591675
Kepler-648,b,,,283.899655,45.016888
Kepler-649,b,,,285.655936,45.079556
Kepler-650,b,,,289.000875,45.154270
Kepler-651,b,,,287.332790,46.203500
Kepler-217,d,,,293.037744,46.277508
Kepler-218,d,,,295.412811,46.266472
Kepler-652,b,,,288.008110,46.473557
Kepler-653,b,,,282.212930,46.717819
Kepler-653,c,,,282.212930,46.717819
Kepler-654,b,,,297.068412,46.834278
Kepler-655,b,,,297.259092,46.843193
Kepler-656,b,,,288.327899,47.381592
Kepler-657,b,,,291.197299,47.307800
Kepler-255,d,,,296.064233,45.976841
Kepler-734,b,,,297.045638,46.027363
Kepler-735,b,,,284.688884,46.172249
Kepler-736,b,,,285.391321,46.180939
